Movie Title,IMDB Ratings,IMDB Voted,OTT,BMS Ratings,BMS Tickets,Run Time In Min,Year,Director,Cast,Release Date,Genre
Game Changer,5.1,29000,Amazon ,7.4,92000,165,2025,S. Shankar,"Ram Charan, Kiara Advani, S.J. Suryah","Jan 10, 2025",Political Action Thriller
Daaku Maharaaj,5.9,5100,Netflix,8.8,66000,147,2025,Bobby Kolli,"Nandamuri Balakrishna, Bobby Deol, Shraddha Srinath","Jan 12, 2025",Period Action Thriller
Sankranthiki Vasthunam,6.2,3800,ZEE5,8.9,97900,144,2025,Anil Ravipudi,"Venkatesh, Meenakshi Chaudhary, Aishwarya Rajesh","Jan 14, 2025",Action Comedy
Pattudala,6.2,24000,Netflix,6.9,1000,154,2025,Magizh Thirumeni,"Ajith Kumar, Trisha Krishnan, Arjun Sarja","Feb 06, 2025",Action Thriller
Thandel,6.6,4700,Netflix,8.8,50000,152,2025,Chandoo Mondeti,"Naga Chaitanya, Sai Pallavi","Feb 07, 2025",Romantic Action Thriller
Laila,2.5,563,Amazon ,6.6,2500,136,2025,Ram Narayan,"Vishwak Sen, Akanksha Sharma, Abhimanyu Singh","Feb 14, 2025",Action Comedy
Brahma Anandam,7.9,1300,aha,7.8,1700,148,2025,RVS Nikhil,"Brahmanandam, Raja Goutham, Vennela Kishore","Feb 14, 2025",Comedy Drama
Ramam Raghavam,5.4,211,Amazon ,8.4,240,150,2025,Dhanraj Koranani,"Samuthirakani, Dhanraj Koranani, Harish Uthaman","Feb 21, 2025",Drama Thriller
Dragon,7.8,17000,Netflix,9.3,69000,155,2025,Ashwath Marimuthu,"Pradeep Ranganathan, Anupama Parameswaran","Feb 21, 2025",Comedy Drama
Mazaka,5.1,551,ZEE5,8.5,6600,148,2025,Trinadha Rao Nakkina,"Sundeep Kishan, Rao Ramesh, Ritu Varma","Feb 26, 2025",Romantic Comedy
Sabdham,6.1,754,Amazon ,8,4000,148,2025,Arivazhagan,"Aadhi Pinisetty, Lakshmi Menon, Simran","Feb 28, 2025",Horror Thriller
Dilruba,4,124,aha,8.1,2400,152,2025,Viswa Karun,"Kiran Abbavaram, Rukshar Dhillon","Mar 14, 2025",Romantic Drama
Court,7.9,11000,Netflix,9.5,50000,149,2025,Ram Jagadeesh,"Priyadarshi Pulikonda, Sai Kumar, Sivaji","Mar 14, 2025",Legal Drama
Pelli Kani Prasad,9.1,3400,ETVWIN,6.9,300,118,2025,Abhilash Reddy Gopidi,"Sapthagiri, Priyanka Sharma","Mar 21, 2025",Comedy Drama
Shanmukha,3.2,386,aha,7.1,200,121,2025,Shanmugam Sappani,"Aadi Saikumar, Avika Gor, Aditya Om","Mar 21, 2025",Action Thriller
L2: Empuraan,6.2,14000,JioHotstar,8,131000,179,2025,Prithviraj Sukumaran,"Mohanlal, Prithviraj Sukumaran, Manju Warrier","Mar 27, 2025",Political Action Thriller
